,sentence,category,sentiment
13357,I booked for 2 front tires at the local garage and arrived early at the garage next day and they were done within 45 minutes. Excellent service from [REDACTED] and the Garage.,garage service,positive
13358,I booked for 2 front tires at the local garage and arrived early at the garage next day and they were done within 45 minutes. Excellent service from [REDACTED] and the Garage.,length of fitting,positive
13359,I booked for 2 front tires at the local garage and arrived early at the garage next day and they were done within 45 minutes. Excellent service from [REDACTED] and the Garage.,location,positive
13360,I was able to buy a top branded tyre at a good price.Tyres were fitted when they said they would be and the tyre fitting garage were very professional. I am very happy that I used [REDACTED] and will definitely be buying my tyres from them again..,value for money,positive
13361,I was able to buy a top branded tyre at a good price.Tyres were fitted when they said they would be and the tyre fitting garage were very professional. I am very happy that I used [REDACTED] and will definitely be buying my tyres from them again..,delivery punctuality,positive
13362,I was able to buy a top branded tyre at a good price.Tyres were fitted when they said they would be and the tyre fitting garage were very professional. I am very happy that I used [REDACTED] and will definitely be buying my tyres from them again..,length of fitting,positive
13363,I was able to buy a top branded tyre at a good price.Tyres were fitted when they said they would be and the tyre fitting garage were very professional. I am very happy that I used [REDACTED] and will definitely be buying my tyres from them again..,wait time,positive
13364,An excellent service with friendly staff. Offered coffee and biscuit while I waited for the tyres to be fitted.,garage service,positive
13365,An excellent service with friendly staff. Offered coffee and biscuit while I waited for the tyres to be fitted.,facilities,positive
13366,"Not a great experience so far. Still waiting for a missing tyre from my order. It seems “chat” to a team member actually means send an e-mail....not quite the same thing! No replies from that as yet.Help line merrily racks up a premium cost whilst you wait....I bailed out just after 5 mins before it cost me any more money.I feel very isolated as a customer with an issue right now.When things go wrong [REDACTED] don’t appear to meet the standards of customer care that we have come to expect from a major online retailer, particularly one owned by a company as reputable as Michelin.",response time,negative
